,title
2347,Pseudoreplication in Tropical Forests and the Resulting Effects on Biodiversity Conservation
2348,Biotic homogenization of three insect groups due to urbanization
2349,Changes in the trade of bycatch species corresponding to CITES regulations: the case of dried seahorse trade in Thailand
2350,"Different forest cover and its impact on eco-hydrological traits, invertebrate fauna and biodiversity of spring habitats"
2351,Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?
2352,Spatial priorities for agricultural development in the Brazilian Cerrado: may economy and conservation coexist?
2353,Incorporating Geographical and Evolutionary Rarity into Conservation Prioritization
2354,Dinaric mountains
2355,Leaf litter ant diversity in Guyana
2356,BIODIVERSITY RESEARCH Scale dependency of diversity components estimated from primary biodiversity data and distribution maps
2357,
2358,The Global Registry of Biodiversity Repositories: A Call for Community Curation Introductio n
2359,A simple method to estimate the probable distribution of species
2360,DNA barcoding of aquatic insects reveals unforeseen diversity and recurrent population divergence patterns through broad-scale sampling in northern Canada
2361,Cryptic structure and niche divergence within threatened Galápagos giant tortoises from southern Isabela Island
2362,Distant land use affects terrestrial and aquatic habitats of high naturalness
2363,8 International Union for Conservation of
2364,Testing the Environmental Kuznets Curve Hypothesis with Bird Populations as Habitat-Specific Environmental Indicators: Evidence from Canada
2365,Primate Hotspots on Borneo: Predictive Value for General Biodiversity and the Effects of Taxonomy
2366,Should evolutionary history guide conservation?
2367,A Range-Wide Survey of the Endangered Black-Capped Vireo in Texas
2368,Extending the Namibian protected area network to safeguard hotspots of endemism and diversity
2369,Fluctuations in abundance of large herbivore populations: insights into the influence of dry season rainfall and elephant numbers from long-term data
2370,Matrix composition and landscape heterogeneity structure multiple dimensions of biodiversity in temperate forest birds
2371,Hunter Reporting of Catch per Unit Effort as a Monitoring Tool in a Bushmeat-Harvesting System
2372,"Uses of wild vertebrates in traditional medicine by farmers in the region surrounding the Serra do Conduru State Park (Bahia, Brazil)"
2373,Species-level phenological responses to &apos;global warming&apos; as evidenced by herbarium collections in the Tibetan Autonomous Region
2374,Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?
2375,Mexican alpine plants in the face of global warming: potential extinction within a specialized assemblage of narrow endemics
2376,Plant communities as a tool for setting priorities in biodiversity conservation: a novel approach to Iberian aquatic vegetation
2377,"Using fish assemblages in different habitats to develop a management plan for the Upper Essequibo Conservation Concession, Guyana"
2378,Bird responses to housing development in intensively managed agricultural landscapes
2379,"The value of the Black Harrier Circus maurus as a predictor of biodiversity in the plant-rich Cape Floral Kingdom, South Africa"
2380,The role of knowledge and spatial contexts in biodiversity policies: a sociological perspective
2381,A preliminary checklist of soil ants (Hymenoptera: Formicidae) of Colombian Amazon
2382,Invasive plant removal: assessing community impact and recovery from invasion
2383,Biodiversity of aquatic environments in a peri-urban Atlantic Forest protected remnant: a checklist Inventory
2384,Butterfly diversity and historical land cover change along an altitudinal gradient Ingolf Steffan-Dewenter
2385,Vascular Plant Diversity as a Surrogate for Bryophyte and Lichen Diversity
2386,
2387,"The diversity and distribution of mesophotic benthic invertebrates at Ningaloo Reef, Western Australia"
2388,Impacts of grazing by different large herbivores in grassland depend on plant species diversity
2389,"Human disturbance impacts on rainforest mammals are most notable in the canopy, especially for larger-bodied species"
2390,funrar: An R package to characterize functional rarity
2391,Conservation tillage mitigates the negative effect of landscape simplification on biological control
2392,
2393,Assessing Conservation Management&apos;s Evidence Base: a Survey of Management-Plan Compilers in the United Kingdom and Australia
2394,"Using Population Viability Analysis to Predict the Effects of Climate Change on the Extinction Risk of an Endangered Limestone Endemic Shrub, Arizona Cliffrose"
2395,"Persistence of a potentially rare mammalian genus (Wyulda) provides evidence for areas of evolutionary refugia within the Kimberley, Australia"
2396,Phylogeny and the selectivity of extinction in Australian marsupials
2397,Soil environmental conditions rather than denitrifier abundance and diversity drive potential denitrification after changes in land uses
2398,Fine-scale spatial genetic structure and allozymic diversity in natural populations of Ocotea catharinensis Mez. (Lauraceae)
2399,"Hunting patterns in tropical forests adjoining the Hkakaborazi National Park, north Myanmar"
2400,Fauna data integration and species distribution modelling as two major advantages of geoinformatics- based phytobiodiversity study in today&apos;s fast changing climate
2401,Landscape structure influences urban vegetation vertical structure
2402,Long-term isolation and endemicity of Neotropical aquatic insects limit the community responses to recent amphibian decline
2403,Depicting the novel Eastern Mediterranean food web: a stable isotopes study following Lessepsian fish invasion
2404,A clustering optimization strategy to estimate species richness of Sebacinales in the tropical Andes based on molecular sequences from distinct DNA regions
2405,National Threatened Species Listing Based on IUCN Criteria and Regional Guidelines: Current Status and Future Perspectives
2406,"Brewing trouble: coffee invasion in relation to edges and forest structure in tropical rainforest fragments of the Western Ghats, India"
2407,Expanding Kenya&apos;s protected areas under the Convention on Biological Diversity to maximize coverage of plant diversity
2408,Interactive impacts of by-catch take and elite consumption of illegal wildlife
2409,Ground beetles (Coleoptera: Carabidae) in the inten- sively cultivated agricultural landscape of Northern China -implications for biodiversity conservation
2410,"Ethnomedicinal and cultural practices of mammals and birds in the vicinity of river Chenab, Punjab-Pakistan"
2411,Research Multi-trophic guilds respond differently to changing elevation in a subtropical forest
2412,Conserving on the edge: genetic variation and structure in northern populations of the endangered plant Dracocephalum ruyschiana L. (Lamiaceae)
2413,Persistence of genetic diversity and phylogeographic structure of three New Zealand forest beetles under climate change
2414,Biotic homogenization at the community scale: disentangling the roles of urbanization and plant invasion
2415,An evaluation of a GARP model as an approach to predicting the spatial distribution of non-vagile invertebrate species
2416,Fragmentation in calcareous grasslands: species specialization matters
2417,"Journal of Natural History Crymostygidae, a new family of subterranean freshwater gammaridean amphipods (Crustacea) recorded from subarctic Europe Crymostygidae, a new family of subterranean freshwater gammaridean amphipods (Crustacea) recorded from subarctic Europe"
2418,"Leaf-litter herpetofaunal richness, abundance, and community assembly in mono-dominant plantations and primary forest of northeastern Costa Rica"
2419,"Invasion of glossy privet (Ligustrum lucidum) and native forest loss in the Sierras Chicas of Córdoba, Argentina"
2420,Dissecting a biodiversity hotspot: The importance of environmentally marginal habitats in the Atlantic Forest Domain of South America
2421,Associations of invasive alien species and other threats to IUCN Red List species (Chordata: vertebrates)
2422,The rehabilitation value of a small culturally significant island based on the arthropod natural capital
2423,Naturalized habitat on golf courses: source or sink for natural enemies and conservation biological control?
2424,Defining and measuring the social-ecological quality of urban greenspace: a semi-systematic review
2425,The effects of organic agriculture on biodiversity and abundance: a meta-analysis
2426,Protecting the Forests While Allowing Removal of Damaged Trees may Imperil Saproxylic Insect Biodiversity in the Hyrcanian Beech Forests of Iran
2427,"Food habit of Platydemus manokwari De Beauchamp, 1962 (Tricladida: Terri- cola: Rhynchodemidae), known as a predatory flatworm of land snails in the Ogasawara (Bonin) Islands, Japan"
2428,Biodiversity Offsets and Infrastructure
2429,Road size and carrion beetle assemblages in a New York forest
2430,"Systematics and Biodiversity Phylogenetic patterns of morphological and chemical characters and reproductive mode in the Heterodermia obscurata group in Costa Rica (Ascomycota, Physciaceae) Phylogenetic patterns of morphological and chemical characters and reproductive mode in the Heterodermia obscurata group in Costa Rica (Ascomycota, Physciaceae)"
2431,Local and landscape drivers of biodiversity of four groups of ants in coffee landscapes
2432,Insect conservation and pest management
2433,Railway lines affect spatial turnover of pollinator communities in an agricultural landscape
2434,Diachronic variations in the distribution of butterflies and dragonflies linked to recent habitat changes in Western Europe
2435,Systematics and Biodiversity A journey through time: exploring temporal patterns amongst digitized plant specimens from Australia View supplementary material Perspective A journey through time: exploring temporal patterns amongst digitized plant specimens from Australia
2436,"Microalgal communities from ornithogenic soils at Cierva Point, Antarctic Peninsula"
2437,Baltic Sea and European Atlantic coast estuaries
2438,"Limited effects of marine protected areas on the distribution of invasive species, despite positive effects on diversity in shallow-water marine communities"
2439,THEMATIC SECTION Will up-scaled forest conservation incentives in the Peruvian Amazon produce cost-effective and equitable outcomes?
2440,Nature conservation: priority-setting needs a global change
2441,Environmental Conservation Coupling law enforcement and community- based regulations in support of compliance with biodiversity conservation regulations
2442,"Biotic heterogeneity among scarab beetle communities in an anthropized landscape in the Central Valleys of Oaxaca, Mexico"
2443,Predicting the Landscape-Scale Distribution of Alien Plants and Their Threat to Plant Diversity
2444,
2445,Ten years inventorying the Iberian fauna: results and perspectives
2446,Taxonomic Paper Records of larentiine moths (Lepidoptera: Geometridae) collected at the Station Linné in Sweden
2447,"Practices of entomophagy and entomotherapy by members of the Nyishi and Galo tribes, two ethnic groups of the state of Arunachal Pradesh (North-East India)"
2448,"Checklist dos Cnidaria do Estado de São Paulo, Brasil"
2449,Building partnerships with communities for biodiversity conservation: lessons from Asian mountains
2450,Statistical matching for conservation science
2451,Plant diversity positively affects short-term soil carbon storage in experimental grasslands
2452,Differences in sensitivity to the fungal pathogen Batrachochytrium dendrobatidis among amphibian populations
2453,Agrarian legacy in soil nutrient pools of urbanizing arid lands
2454,The rapid spread of rusty crayfish (Orconectes rusticus) with observations on native crayfish declines in Wisconsin (U.S.A.) over the past 130 years
2455,After &quot;the call&quot;: a review of urban insect ecology trends from 2000-2017
2456,Strategic taxonomy in a biodiverse landscape: a novel approach to maximizing conservation outcomes for rare and poorly known flora
2457,Forecasting plant range collapse in a mediterranean hotspot: when dispersal uncertainties matter
2458,Analysis of the complete mitochondrial genome of Apis nigrocincta (Insecta: Hymenoptera: Apidae) on Sangihe Island in Indonesia
2459,Reassessing Neotropical angiosperm distribution patterns based on monographic data: a geometric interpolation approach
2460,"Conservation letter The role of monkeys, mosquitoes, and humans in the occurrence of a yellow fever outbreak in a fragmented landscape in south Brazil: protecting howler monkeys is a matter of public health"
2461,Using Mark-recapture to provide population census data for use in Red Listing of invertebrates: the rare terrestrial snail Prestonella bowkeri as a case study
2462,Conserving the Himalayan forests: approaches and implications of different conservation regimes
2463,Effect of management on natural capital stocks underlying ecosystem service provision: a &apos;provider group&apos; approach
2464,Red List Indices to measure the sustainability of species use and impacts of invasive alien species
2465,Meeting species persistence targets under climate change: A spatially explicit conservation planning model
2466,"Minimum data requirements for designing a set of marine protected areas, using commonly available abiotic and biotic datasets"
2467,"Assessment of threat status and management effectiveness in Kakamega Forest, Kenya"
2468,Modelling changes in forest attributes driven by human activities at different spatial scales in the subtropical Atlantic Forest
2469,Ecosystem services and conservation strategy: beware the silver bullet Conservation and ecosystem services
2470,"Restore it, and they will come: trap-nesting bee and wasp communities (Hymenoptera: Aculeata) are recovered by restoration of riparian forests"
2471,Dataset of long-term monitoring of ground-dwelling ants (Hymenoptera: Formicidae) in the influence areas of a hydroelectric power plant on the Madeira River in the Amazon Basin
2472,Urban biodiversity: patterns and mechanisms
2473,Perspective Biomonitors of atmospheric nitrogen deposition: potential uses and limitations
2474,Combining probabilities of occurrence with spatial reserve design
2475,Robustness to thermal variability differs along a latitudinal gradient in zooplankton communities
2476,Guidelines for the monitoring of Morimus asper funereus and Morimus asper asper Launched to accelerate biodiversity conservation A peer-reviewed open-access journal
2477,Saving the Last Endemic-Church Forests in Ethiopia: The Case of Lake Tana Biosphere Reserve
2478,Revista Mexicana de Biodiversidad
2479,A Fire-Explicit Population Viability Analysis of Hypericum cumulicola in Florida Rosemary Scrub
2480,Elucidating the socio-demographics of wildlife tolerance using the example of the red fox (Vulpes vulpes) in Germany
2481,Unreported yet massive deforestation driving loss of endemic biodiversity in Indian Himalaya
2482,"Sacred sites, biodiversity and urbanization in an Indian megacity"
2483,Are richness patterns of common and rare species equally well explained by environmental variables?
2484,Impacts on biodiversity at Baltic Sea beaches
2485,Anticipating the spatio-temporal response of plant diversity and vegetation structure to climate and land use change in a protected area Europe PMC Funders Group Europe PMC Funders Author Manuscripts Europe PMC Funders Author Manuscripts
2486,"Redescription of Xenodasys riedli (Gastrotricha: Macrodasyida) based on SEM analysis, with first report of population density data"
2487,Enhancing gardens as habitats for soil-surface-active invertebrates: should we plant native or exotic species?
2488,Changing crop biodiversity and resource use efficiency of traditional versus introduced crops in the cold desert of the northwestern Indian Himalaya: a case of the Lahaul valley
2489,Functional response of plant communities to clearcutting: management impacts differ between forest vegetation zones
2490,"Species composition and abundance of the shallow water fish community of Kongsfjorden, Svalbard"
2491,"Warming increases plant biomass and reduces diversity across continents, latitudes, and species migration scenarios in experimental wetland communities"
2492,Ethnoagroforestry: integration of biocultural diversity for food sovereignty in Mexico
2493,The state of the Dutch larger moth fauna
2494,Dirt roads and fire breaks produce no edge effects on litter-dwelling arthropods in a tropical dry-forest: a case study
2495,Trade-Offs between Cattle Production and Bird Conservation in an Agricultural Frontier of the Gran Chaco of Argentina
2496,"Journal of Natural History The termites of the Mayombe Forest Reserve, Congo (Brazzaville): transect sampling reveals an extremely high diversity of ground-nesting soil feeders The termites of the Mayombe Forest Reserve, Congo (Brazzaville): transect sampling reveals an extremely high diversity of ground-nesting soil feeders"
2497,"Biodiversity impact analysis in northwest Yunnan, southwest China"
2498,A Journal of Conservation Biogeography Diversity and Distributions
2499,Spatiotemporal stability of two beetle populations in non-farmed habitats in an agricultural landscape
2500,
2501,"A comparative study of Odonata (Insecta) assemblages along an altitudinal gradient in the sierra de Coalcomán Mountains, Michoacán, Mexico"
2502,Nonvolant Mammal Megadiversity and Conservation Issues in a Threatened Central Amazonian Hotspot in Brazil
2503,Detecting long-term occupancy changes in Californian odonates from natural history and citizen science records
2504,Predicting community rank-abundance distributions under current and future climates
2505,Systematics and Biodiversity Biodiversity assessment of trees in five inland tropical dry evergreen forests of peninsular India Biodiversity assessment of trees in five inland tropical dry evergreen forests of peninsular India
2506,Microbial biomass and respiration responses to nitrogen fertilization in a polar desert
2507,"Students&apos; perception of urban and rural environmental protection areas in Pernambuco, Brazil"
2508,
2509,Are epiphytes important for birds in coffee plantations? An experimental assessment
2510,Global assessment of marine biodiversity potentially threatened by offshore hydrocarbon activities
2511,Derivation of the Extrinsic Values of Biological Diversity from Its Intrinsic Value and of Both from the First Principles of Evolution
2512,
2513,Hotspots of Insect Diversity in Boreal Forests
2514,"Journal of Natural History Synopsis of terrestrial isopods (Crustacea: Isopoda: Oniscidea) from Brazilian caves, with emphasis on new records from north, midwest, northeast and southeast regions Synopsis of terrestrial isopods (Crustacea: Isopoda: Oniscidea) from Brazilian caves, with emphasis on new records from north, midwest, northeast and southeast regions"
2515,Are Lepidoptera an effective &apos;umbrella group&apos; for biodiversity conservation?
2516,Assessing the effectiveness of China&apos;s protected areas to conserve current and future amphibian diversity
2517,The diversity of diversity studies: retrospectives and future directions
2518,THEMATIC SECTION Compensation for ecosystem services: an evaluation of efforts to achieve conservation and development in Ecuadorian páramo grasslands
2519,Utilisation of introduced Brazilian pastures ecosystems by native dung beetles: diversity patterns and resource use
2520,Does size matter? Conservation implications of differing woody population sizes with equivalent occurrence and diversity of species for threatened savanna habitats
2521,Using distribution models to estimate blooms of phytosanitary cyanobacteria in Brazil
2522,Subpopulations of Cryptocephalus beetles (Coleoptera: Chrysomelidae): geographically close but genetically far
2523,Host-plant-based restoration as a potential tool to improve conservation status of odonate specialists
2524,Avalanches creating high structural and floristic diversity in mountain mixed forests in the Alps
2525,Early changes of orthopteran assemblages after grassland restoration: a comparison of space-for- time substitution versus repeated measures monitoring
2526,-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/). bajo la licencia CC BY-NC-ND (http://creativecommons.org/licenses/by-nc-nd/4.0/)
2527,The biogeography of the Anura of sub-equatorial Africa and the prioritisation of areas for their conservation
2528,Are there habitats that contribute best to plant species diversity in coastal dunes?
2529,Avoiding conflicts and protecting coral reefs: customary management benefits marine habitats and fish biomass
2530,Size of nature reserves: densities of large trees and dead wood indicate high value of small conservation forests in southern Sweden * FRANK GOTMARK and MARIA THORELL
2531,Land Development in and around Protected Areas at the Wilderness Frontier
2532,
2533,Functional significance of ungulate diversity in African savannas and the ecological implications of the spread of pastoralism
2534,Fast-growing hybrids do not decrease understorey plant diversity compared to naturally regenerated forests and native plantations
2535,Landscape context affects the success of habitat restoration: large-scale colonization patterns of saproxylic and fire-associated species in boreal forests
2536,"Molecular methods reveal controls on nematode community structure and unexpectedly high nematode diversity, in Svalbard high Arctic tundra"
2537,Oviposition site selection of a threatened moth Eriogaster catax (Lepidoptera: Lasiocampidae) in agricultural landscape-implications for its conservation
2538,Plant and arthropod diversity patterns of maize agro-ecosystems in two grassy biomes of South Africa
2539,"Climate Sentinels Research Program: Developing Indicators of the Effects of Climate Change on Biodiversity in the Region of New Aquitaine (South West, France)"
2540,Revista Mexicana de Biodiversidad Manejo y aprovechamiento
2541,Planning for Biodiversity: the Role of Ecological Impact Assessment
2542,"Flora vascular da Serra da Pedra Branca, Caldas, Minas Gerais e relações florísticas com áreas de altitude da Região Sudeste do Brasil 1"
2543,Selecting appropriate methods of knowledge synthesis to inform biodiversity policy
2544,Extinction debt of a common shrub in a fragmented landscape
2545,Integration of physiological knowledge into hybrid species distribution modelling to improve forecast of distributional shifts of tropical corals
2546,Journal of Natural History Predatory insects in lentic freshwater habitats from northwest Patagonia: richness and phenology Predatory insects in lentic freshwater habitats from northwest Patagonia: richness and phenology
2547,Patterns of species diversity are not consistent between shifting cultivation in Bawangling Nature Reserves and selective logging in Diaoluoshan Nature Reserves
2548,INTERTIDAL BIODIVERSITY IN CENTRAL CHILE REVISTA CHILENA DE HISTORIA NATURAL
2549,Transforming conservation science and practice for a postnormal world Transformación de la Ciencia y la Práctica de la Conservación para un Mundo Pos-Normal
2550,Natural Versus National Boundaries: The Importance of Considering Biogeographical Patterns in Forest Conservation Policy
2551,"BIODIVERSITY RESEARCH Overstorey tree species regulate colonization by native and exotic plants: a source of positive relationships between understorey diversity and invasibility Tree species, diversity, and invasibility"
2552,
2553,Biodivers Conserv Epiphytes of Sitka spruce (Picea sitchensis) plantations in Ireland and the eVects of open spaces
2554,Species richness as criterion for global conservation area placement leads to large losses in coverage of biodiversity
2555,"Recovery of Soil Macrofauna Communities after Forest Clearance in Eastern Amazonia, Brazil"
2556,"First record of Pinctada imbricata Röding, 1798 (Bivalvia: Pteroidea) attached to a rafting item: a potentially invasive species on the Uruguayan coast"
2557,"Conservation value of secondary forest habitats for endemic birds, a perspective from two widely separated tropical ecosystems"
2558,Relative effects of recreational activities on a temperate terrestrial wildlife assemblage
2559,BIODIVERSITY RESEARCH Algal communities in human-impacted stream ecosystems suffer beta-diversity decline Algal β -diversity decline in impacted streams
2560,Effects of ecological and anthropogenic factors on population demography of the harvested Butia capitata palm in the Brazilian Cerrado
2561,Use of Premontane Moist Forest and Shade Coffee Agroecosystems by Army Ants in Western Panama
2562,"Systematics and Biodiversity Revision of ring-gentians (Symbolanthus, Gentianaceae) from Bolivia, Ecuador and Peru, with a first assessment of conservation status"
2563,Impacts of habitat change and protected areas on alpha and beta diversity of Mexican birds
2564,Non-indigenous bryozoan species from natural and artificial substrata of Mediterranean submarine caves
2565,Robust decisions for declaring eradication of invasive species
2566,"Progress and challenges in consolidating the management of Amazonian protected areas and indigenous territories Palabras clave: efectividad, evaluación, financiamiento, manejo, punto de inflexión"
2567,Combined Effects of Atrazine and Chlorpyrifos on Susceptibility of the Tiger Salamander to Ambystoma tigrinum Virus
2568,"New records of scale worms (Polychaeta: Annelida) from the Red Sea collected during the KAU-SRI biodiversity survey along the coast of Saudi Arabia. Families Iphionidae, Polynoidae and Sigalionidae"
2569,Australian Rivers Inst
2570,"A survey of mid and large bodied mammals in Núcleo Caraguatatuba, Serra do Mar State Park, Brazil"
2571,Aphid-tending Ants Affect Secondary Users in Leaf Shelters and Rates of Herbivory on Salix hookeriana in a Coastal Dune Habitat
2572,Spatial Components of Bird Diversity in the Andes of Colombia: Implications for Designing a Regional Reserve System
2573,Developing an Interdisciplinary and Cross-Sectoral Community of Practice in the Domain of Forests and Livelihoods
2574,Species richness and abundance of non-cryptic fish species in the Philippines: a global center of reef fish diversity
2575,Surveys for Population Persistence and Bd at the Northeastern Range Edge of the Eastern Lesser Siren
2576,Matches and mismatches between conservation investments and biodiversity values in the European Union
2577,Hotspots and richness pattern of grasshopper species in cultural landscapes
2578,THEMATIC SECTION Spatial Simulation Models in Planning for Resilience Species distribution modelling using bioclimatic variables to determine the impacts of a changing climate on the western ringtail possum (Pseudocheirus occidentals; Pseudocheiridae)
2579,Avoiding Pitfalls of Using Species Distribution Models in Conservation Planning
2580,"Land use changes could modify future negative effects of climate change on old-growth forest indicator species Citizen science data, dead wood-decaying fungi, forecasting, forestry, habitat management, set-aside forest, species distribution models"
2581,"A. ‡The Nature Conservancy, 4245 North Fairfax Drive"
2582,Learning the ropes: mussel spat ropes improve fish and shrimp passage through culverts
2583,Microbial diversity at a deep-sea station of the Pacific nodule province
2584,Vegetation Communities of Great Smoky Mountains National Park
2585,Climate change at the landscape scale: predicting fine- grained spatial heterogeneity in warming and potential refugia for vegetation
2586,
2587,"Contribution of seed banks across Europe towards the 2020 Global Strategy for Plant Conservation targets, assessed through the ENSCONET database"
2588,This is an author version of the contribution published on: 5 Questa è la versione dell&apos;autore dell&apos;opera
2589,"Phenology and temporal niche overlap differ between novel, exotic-and native-dominated grasslands for plants, but not for pollinators"
2590,Termite diversity along a land use intensification gradient in a semi-arid savanna
2591,Areas of Climate Stability of Species Ranges in the Brazilian Cerrado: Disentangling Uncertainties Through Time
2592,Factors Affecting Communication and Information Sharing for Water Resource Management in Lake Victoria Basin (LVB)
2593,Off-grid: solar powered LED illumination impacts epigeal arthropods
2594,"Rural household participation in illegal timber felling in a protected area of West Sumatra, Indonesia"
2595,A comparison of arthropod abundance and arthropod mediated predation services in urban green spaces
2596,Pollinator body size mediates the scale at which land use drives crop pollination services
2597,Biogeographic classification of streams using fish community-and trait-environment relationships
2598,
2599,Modeling algorithm influence on the success of predicting new populations of rare species: ground-truthing models for the Pale-Belly Frost Lichen (Physconia subpallida) in Ontario
2600,Effectiveness of the Natura 2000 network to cover threatened species
2601,-NC-ND 4.0
2602,The rich get richer: Invasion risk across North America from the aquarium pathway under climate change
2603,Microhabitat diversity of Svalbard Bryozoa
2604,Influence of Vegetation on Invertebrate Communities in Grazed Freshwater Wetlands in South-Central Florida
2605,The effect of &apos;mosaic management&apos; on the demography of black-tailed godwit Limosa limosa on farmland
2606,Evidence of neotropical anuran community disruption on rice crops: a multidimensional evaluation
2607,Multi-scale analysis of butterfly diversity in a Mediterranean mountain landscape: mapping and evaluation of community vulnerability
2608,Global warming will affect the maximum potential abundance of boreal plant species
2609,"Deep-sea nematode biodiversity in the Mediterranean basin: testing for longitudinal, bathymetric and energetic gradients"
2610,Special Issue -Causes and patterns of diversity in China Effects of community structure on the species-area relationship in China&apos;s forests
2611,"Mitochondrial 12S rRNA gene sequence analysis, a tool for species identification"
2612,Climate-induced warming imposes a threat to north European spring ecosystems
2613,Contrasting multi-taxa functional diversity patterns along vegetation structure gradients of woody pastures
2614,Macroinvertebrate and soil prokaryote communities in the forest-tundra ecotone of the Subarctic Yukon
2615,A 10-year decrease in plant species richness on a neotropical inselberg: detrimental effects of global warming?
2616,Disentangling the pathways of land use impacts on the functional structure of fish assemblages in Amazon streams EPA Public Access EPA Author Manuscript EPA Author Manuscript EPA Author Manuscript
2617,Are biodiversity`hotspots&apos; correlated with current ecoclimatic stability? A pilot study using the NOAA-AVHRR remote sensing data
2618,Incorporating regional-scale ecological knowledge to improve the effectiveness of large-scale conservation programmes
2619,
2620,"Representing taxonomic, phylogenetic and functional diversity: new challenges for Mediterranean marine-protected areas"
2621,"Using Presence-Absence Data to Build and Test Spatial Habitat Models for the Fisher in the Klamath Region, U.S.A"
2622,Improving Conservation Outcomes with a New Paradigm for Understanding Species&apos; Fundamental and Realized Adaptive Capacity A new paradigm for defining adaptive capacity
2623,The Zoological Society of London
2624,Habitat selection by an avian top predator in the tropical megacity of Delhi: human activities and socio-religious practices as prey-facilitating tools
2625,Factors affecting the distribution of large spotted genets (Genetta tigrina) in an urban environment in South Africa
2626,Estimating sampling efficiency of diurnal Lepidoptera in farmland
2627,"Agricultural development vs biodiversity conservation: the Mediterranean semiarid vegetation in El Ejido (Almeria, southeastern Spain)"
2628,Prescribed fires and retention trees help to conserve beetle diversity in managed boreal forests despite their transient negative effects on some beetle groups
2629,Landscape context determinants to plant diversity in the permanent meadows of Southern European Alps
2630,Towards adaptive fire management for biodiversity conservation: Experience in South African National Parks
2631,Gaia&apos;s Handmaidens: the Orlog Model for Conservation Biology
2632,5 Coastal Fauna and Human Perturbation
2633,Response of Understory Bird Feeding Groups to Deforestation Gradient in a Tropical Rainforest of Cameroon
2634,Not one but three: undetected invasive Alnus species in northwestern Patagonia confirmed with cpDNA and ITS sequences
2635,The exponential growth of invasive species denialism
2636,Analyses of dryland biological soil crusts highlight lichens as an important regulator of microbial communities
2637,DIVERSITY OF MARINE MEIOFAUNA ON THE COAST OF BRAZIL Testing for nematode-granulometry relationships
2638,Local and landscape management drive trait-mediated biodiversity of nine taxa on small grassland fragments
2639,Brittle stars from Southern Ocean (Echinodermata: Ophiuroidea)
2640,Utility of Mitochondrial DNA Barcodes in Species Conservation
2641,Arthropod biodiversity loss and the trans- formation of a tropical agro-ecosystem
2642,Selection of Multiple Umbrella Species for Functional and Taxonomic Diversity to Represent Urban Biodiversity
2643,Sanctuary in the City: Urban Monkeys Buffered against Catastrophic Die-off during ENSO-related Drought
2644,"Plant diversity and priority conservation areas of Northwestern Yunnan, China"
2645,Bird community responses to afforested eucalyptus plantations in the Argentine pampas
2646,Wetland Loss and Biodiversity Conservation
2647,"Contrasting effects of biotic interactions on richness and distribution of vascular plants, bryophytes and lichens in an arctic-alpine landscape"
2648,High plant diversity of lowland rainforest vestiges in eastern Madagascar
2649,Predicting changes in the abundance of African wetland birds by incorporating abundance-occupancy relationships into habitat association models
2650,"Biological diversity of the Yala Swamp lakes, with special emphasis on fish species composition, in relation to changes in the Lake Victoria Basin (Kenya): threats and conservation measures"
2651,"Biomass burning, humans and climate change in Southeast Asia"
2652,The butterfly fauna of Wisconsin bogs: lessons for conservation
2653,New records of plant-parasitic nematodes from Iceland
2654,The Influence of Flowering Dogwood (Cornus florida) on Land Snail Diversity in a Southern Mixed Hardwood Forest
2655,"Soil carbon stocks, deforestation and land-cover changes in the Western Ghats biodiversity hotspot (India)"
2656,Foraging Area Size and Habitat Use by Red Bats (Lasiurus borealis) in an Intensively Managed Pine Landscape in Mississippi
2657,Effects of deer on woodland structure revealed through terrestrial laser scanning
2658,Human overexploitation and extinction risk correlates of Chinese snakes
2659,"Registros de Collembola (Arthropoda, Hexapoda) no Estado do Rio Grande do Norte, Brasil"
2660,Mediation of area and edge effects in forest fragments by adjacent land use
2661,"Establishing the eradication unit of Molara Island: a case of study from Sardinia, Italy"
2662,Conservation Value of Multiple-Use Areas in East Africa
2663,Conserving tropical biodiversity via strategic spatiotemporal harvest planning
2664,Climate and small scale factors determine functional diversity shifts of biological soil crusts in Iberian drylands
2665,Dolichopodid biodiversity and site quality assessment of reed marshes and grasslands in Belgium (Diptera: Dolichopodidae)
2666,"Genetic diversity of yeasts from East Ongul Island, East Antarctica and their extracellular enzymes secretion"
2667,"Alien plant invasions in tropical and sub-tropical savannas: patterns, processes and prospects"
2668,A rapid assessment of hunting and bushmeat trade along the roadside between five Angolan major towns Launched to accelerate biodiversity conservation A peer-reviewed open-access journal
2669,Environmental Conservation Performance of Single-versus Multi-Species Recovery Plans in Brazil
2670,"Changes in traditional ecological knowledge of forage plants in immigrant villages of Ningxia, China"
2671,Drivers of Physicians&apos; Engagement in Addressing Eco-health Problems
2672,BioBanking: an environmental scientist&apos;s view of the role of biodiversity banking offsets in conservation
2673,"Testing the species limits of the tarantulas (Araneae: Theraphosidae) endemic to California&apos;s Southern Coast Ranges, USA"
2674,Forest fragmentation and its impact on species diversity: an analysis using remote sensing and GIS
2675,Bat overpasses: An insufficient solution to restore habitat connectivity across roads
2676,"Functional group classification and target species selection for Yancheng Nature Reserve, China"
